TABLE_NAME|COLUMN_NAME|Notes
PolicyCenter.dbo.pc_contact|FirstName|
PolicyCenter.dbo.pc_contact|FirstNameDenorm|
PolicyCenter.dbo.pc_contact|FirstNameKanji|
PolicyCenter.dbo.pc_contact|FormerName|
PolicyCenter.dbo.pc_contact|LastName|
PolicyCenter.dbo.pc_contact|LastNameDenorm|
PolicyCenter.dbo.pc_contact|LastNameKanji|
PolicyCenter.dbo.pc_contact|LicenseNumber|
PolicyCenter.dbo.pc_contact|MiddleName|
PolicyCenter.dbo.pc_contact|TaxID|
PolicyCenter.edw.pc_job|NameofExcludedDriver|
PolicyCenter.edw.pc_job|PrimaryInsuredName|
PolicyCenter.edw.pc_job|PrimaryInsuredNameDenorm|
PolicyCenter.dbo.pc_mvr|FirstName|
PolicyCenter.dbo.pc_mvr|FirstNameDenorm|
PolicyCenter.dbo.pc_mvr|LastName|
PolicyCenter.dbo.pc_mvr|LastNameDenorm|
PolicyCenter.dbo.pc_mvr|MiddleName|
PolicyCenter.dbo.pc_mvr|SSN|
PolicyCenter.dbo.pc_mvrlicense|LicenseNumber|
PolicyCenter.dbo.pc_mvrorder|FirstNameSC|
PolicyCenter.dbo.pc_mvrorder|FirstNameSCDenorm|
PolicyCenter.dbo.pc_mvrorder|LastNameSC|
PolicyCenter.dbo.pc_mvrorder|LastNameSCDenorm|
PolicyCenter.dbo.pc_mvrorder|LicenseNumberSC|
PolicyCenter.dbo.pc_mvrorder|MiddleNameSC|
PolicyCenter.dbo.pc_pendingcontactupd|FirstName|
PolicyCenter.dbo.pc_pendingcontactupd|FirstNameKanji|
PolicyCenter.dbo.pc_pendingcontactupd|LastName|
PolicyCenter.dbo.pc_pendingcontactupd|LastNameKanji|
PolicyCenter.dbo.pc_pendingcontactupd|LicenseNumber|
PolicyCenter.dbo.pc_pendingcontactupd|MiddleName|
PolicyCenter.dbo.pc_policycontactrole|DriversLicenseNum|
PolicyCenter.dbo.pc_policycontactrole|FirstNameInternal|
PolicyCenter.dbo.pc_policycontactrole|FirstNameInternalDenorm|
PolicyCenter.dbo.pc_policycontactrole|FirstNameKanjiInternal|
PolicyCenter.dbo.pc_policycontactrole|FirstNameKanjiInternalDenorm|
PolicyCenter.dbo.pc_policycontactrole|LastNameInternal|
PolicyCenter.dbo.pc_policycontactrole|LastNameInternalDenorm|
PolicyCenter.dbo.pc_policycontactrole|LastNameKanjiInternal|
PolicyCenter.dbo.pc_policycontactrole|LastNameKanjiInternalDenorm|
PolicyCenter.dbo.pc_policycontactrole|LicenseNumberInternal|
PolicyCenter.dbo.pc_policycontactrole|MiddleName_Ext|
PolicyCenter.dbo.pc_policycontactrole|MiddleNameInternal|
PolicyCenter.dbo.pc_policycontactrole|PrintName_ExtInternal|
PolicyCenter.dbo.pc_policycontactrole|PrintName_ExtInternalDenorm|
PolicyCenter.edw.pc_policyperiod|PrimaryInsuredName|
PolicyCenter.edw.pc_policyperiod|PrimaryInsuredNameDenorm|
PolicyCenter.dbo.pc_policyterm|NameofExcludedDriver|
PolicyCenter.dbo.pcx_businessPursuits|insuredName|
PolicyCenter.dbo.pcx_cluelossdetail|ClaimantName|
PolicyCenter.dbo.pcx_cluelossdetail|PolicyHolderName|
PolicyCenter.dbo.pcx_CreditReportExt|AlternateFirstName|
PolicyCenter.dbo.pcx_CreditReportExt|AlternateLastName|
PolicyCenter.dbo.pcx_CreditReportExt|AlternateMiddleName|
PolicyCenter.dbo.pcx_CreditReportExt|FirstName|
PolicyCenter.dbo.pcx_CreditReportExt|LastName|
PolicyCenter.dbo.pcx_CreditReportExt|MiddleName|
PolicyCenter.dbo.pcx_ears_recondata_ext|PolicyDriverName|
PolicyCenter.dbo.pcx_edsemail_ext|FirstName|
PolicyCenter.dbo.pcx_edsemail_ext|LastName|
PolicyCenter.dbo.pcx_priorlossext|LicenseNum|
PolicyCenter.dbo.pcx_priorlossext|PolicyHolderName|
PolicyCenter.dbo.pcx_uladditionalinterests_ext|FirstName_Ext|
PolicyCenter.dbo.pcx_uladditionalinterests_ext|LastName_Ext|
PolicyCenter.dbo.pcx_uladditionalinterests_ext|LicenseNumber_Ext|
PolicyCenter.dbo.pcx_uladditionalinterests_ext|MiddleName_Ext|
PolicyCenter.dbo.pcx_uladditionalinterests_ext|PolicyAddIntName_Ext|
PolicyCenter.dbo.pcx_uladditionalinterests_ext|SSNOfficialID_Ext|
PolicyCenter.dbo.pc_officialid|OfficialIDValue|
