TABLE_NAME|PII COLUMN_NAME|Notes
EnterpriseReportOrdering.dbo.LexisNexisADDReports|LastName|
EnterpriseReportOrdering.dbo.LexisNexisADDReports|FirstName|
EnterpriseReportOrdering.dbo.LexisNexisADDReports|MiddleName|
EnterpriseReportOrdering.dbo.LexisNexisADDReports|DateOfBirth|
EnterpriseReportOrdering.dbo.LexisNexisADDReports|DriverLicenseNum|
EnterpriseReportOrdering.dbo.LexisNexisADDReports|Street|
EnterpriseReportOrdering.dbo.LexisNexisADDReports|RequestXML|
EnterpriseReportOrdering.dbo.LexisNexisADDReports|ResponseXML|
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillLogReports|LastName|No records in the table
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillLogReports|FirstName|No records in the table
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillLogReports|MiddleName|No records in the table
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillLogReports|DateOfBirth|No records in the table
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillLogReports|Street|No records in the table
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillLogReports|RequestXML|No records in the table
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillLogReports|ResponseXML|No records in the table
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillReports|LastName|
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillReports|FirstName|
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillReports|MiddleName|
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillReports|DateOfBirth|
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillReports|Street|
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillReports|RequestXML|
EnterpriseReportOrdering.dbo.LexisNexisAutoDataPrefillReports|ResponseXML|
EnterpriseReportOrdering.dbo.LexisNexisClueAutoLogReports|LastName|
EnterpriseReportOrdering.dbo.LexisNexisClueAutoLogReports|FirstName|
EnterpriseReportOrdering.dbo.LexisNexisClueAutoLogReports|MiddleName|
