DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Row Count (Prod 6/27)|Notes
ESE.dbo.ESERequest|Y|N|DateTimeStamp|||RequestID|||
ESE.dbo.LKU_EASI_CENSUS_BY_ZIP|Y|N|DB_MODIFIED_TMS|||DB_CREATE_TMS|||
ESE.dbo.NAICS_CAPPING_LOOKUP|Y|N|ID|||ID|||
ESE.dbo.PA_SE_REF_ALGR|Y|N|ALGR_ID|||ALGR_ID|||
ESE.dbo.PA_SE_REF_ALGR_CALB_RLTNSH|Y|N|DB_MODIFIED_TMS|||ALGR_ID|||
ESE.dbo.PA_SE_REF_CALB_TYPE|Y|N|DB_MODIFIED_TMS|||DB_CREATE_TMS|||
ESE.dbo.PA_SE_REF_SCORE_CALB|Y|N|DB_MODIFIED_TMS|||ALGR_ID|||
ESE.dbo.PA_SE_REF_SCORE_ERR_RSLT|Y|N|DB_MODIFIED_TMS|||SCORE_RUN_ID|||
ESE.dbo.PA_SE_REF_SCORE_GRP|Y|N|DB_MODIFIED_TMS|||ALGR_ID|||
ESE.dbo.PA_SE_REF_SCORE_RSLT|Y|N|DB_MODIFIED_TMS|||SCORE_RUN_ID|||
ESE.dbo.PA_SE_REF_SCORE_RSN|Y|N|DB_MODIFIED_TMS|||RSN_ID|||
ESE.dbo.PA_SE_REF_SCORE_RSN_MSG|Y|N|DB_MODIFIED_TMS|||ALGR_ID|||
ESE.dbo.PA_SE_REF_SCORE_RSN_RSLT|Y|N|DB_MODIFIED_TMS|||RSN_ID|||
ESE.dbo.PA_SE_REF_SCORE_VAR_RSLT|Y|N|DB_MODIFIED_TMS|||SCORE_RUN_ID|||
ESE.dbo.PA_SE_REF_VAR|Y|N|DB_MODIFIED_TMS|||VAR_ID|||
ESE.dbo.PA_SE_REF_VAR_BIN|Y|N|DB_MODIFIED_TMS|||ALGR_ID|||
ESE.dbo.PA_SE_REF_VAR_COEF|Y|N|DB_MODIFIED_TMS|||ALGR_ID|||
ESE.dbo.PA_SE_REF_VAR_SCORE_RSN|Y|N|DB_MODIFIED_TMS|||ALGR_ID|||
ESE.dbo.PA_SE_REF_VAR_SIZE_CLAIMCNT_BIN|Y|N|DB_MODIFIED_TMS|||ALGR_ID|||
ESE.dbo.PA_SE_REF_VAR_YRCHNG_BIN|Y|N|DB_MODIFIED_TMS|||ALGR_ID|||
ESE.dbo.RiskAnalyzerBOPBatch|Y|N|BatchEffDate|||BatchID|||
ESE.dbo.RiskAnalyzerCABatch|Y|N|BatchEffDate|||BatchID|||
ESE.dbo.RiskAnalyzerEMBOP|Y|N|ID|||ID|||
ESE.dbo.RiskAnalyzerEMCA|Y|N|ID|||ID|||
ESE.dbo.SA_CAT_LIST|Y|N|DB_MODIFIED_TMS|||ID|||
ESE.dbo.CL_SE_REF_ALGR|Y|N|DB_MODIFIED_TMS|||CL_ALGR_ID|||
ESE.dbo.CL_SE_REF_BIN|Y|N|DB_MODIFIED_TMS|||CL_BIN_ID|||
ESE.dbo.CL_SE_REF_FACTOR|Y|N|DB_MODIFIED_TMS|||CL_FACTOR_ID|||
ESE.dbo.CL_SE_REF_LKPTBL|Y|N|DB_MODIFIED_TMS|||LKPTBL_ID|||
ESE.dbo.CL_SE_REF_LKPTBL_BIN|Y|N|DB_MODIFIED_TMS|||LKPTBL_BIN_ID|||
ESE.dbo.CL_SE_REF_LKPTBL_RSLT|Y|N|DB_MODIFIED_TMS|||LKPTBL_RSLT_ID|||
ESE.dbo.CL_SE_REF_MATCH_TYPE|Y|N|DB_MODIFIED_TMS|||MATCH_TYPE_ID|||
ESE.dbo.CL_SE_REF_VEH_SCORE_RSLT|Y|N|DB_MODIFIED_TMS|||VEH_SCORE_RUN_ID|||
ESE.dbo.PA_SE_REF_BAP_ZIP|Y|N|DB_MODIFIED_TMS|||ZIP_CODE|||
ESE.dbo.PA_SE_REF_CLAIM_TYPELIST|Y|N|DB_MODIFIED_TMS|||LOSS_ID|||
