DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table||Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Harmonized Column Names|Attributes from Lookup Table
BillingCenter.dbo.bc_account|AccountType|ID|BillingCenter.dbo.bctl_AccountType|bctl_AccountType_TypeCode_AccountType / bctl_AccountType_Name_AccountType / bctl_AccountType_Description_AccountType|TypeCode / Name / Description||BillingCenter.dbo.bc_account|AccountType|ID|BillingCenter.dbo.bctl_AccountType|bctl_AccountType_TypeCode_AccountType / bctl_AccountType_Name_AccountType / bctl_AccountType_Description_AccountType|TypeCode / Name / Description
BillingCenter.dbo.bc_account|BillDateOrDueDateBilling|ID|BillingCenter.dbo.bctl_BillDateOrDueDateBilling|bctl_BillDateOrDueDateBilling_TypeCode_BillDateOrDueDateBilling / bctl_BillDateOrDueDateBilling_Name_BillDateOrDueDateBilling / bctl_BillDateOrDueDateBilling_Description_BillDateOrDueDateBilling|TypeCode / Name / Description||BillingCenter.dbo.bc_account|BillDateOrDueDateBilling|ID|BillingCenter.dbo.bctl_BillDateOrDueDateBilling|bctl_BillDateOrDueDateBilling_TypeCode_BillDateOrDueDateBilling / bctl_BillDateOrDueDateBilling_Name_BillDateOrDueDateBilling / bctl_BillDateOrDueDateBilling_Description_BillDateOrDueDateBilling|TypeCode / Name / Description
BillingCenter.dbo.bc_account|BillingLevel|ID|BillingCenter.dbo.bctl_BillingLevel|bctl_BillingLevel_TypeCode_BillingLevel / bctl_BillingLevel_Name_BillingLevel / bctl_BillingLevel_Description_BillingLevel|TypeCode / Name / Description||BillingCenter.dbo.bc_account|BillingLevel|ID|BillingCenter.dbo.bctl_BillingLevel|bctl_BillingLevel_TypeCode_BillingLevel / bctl_BillingLevel_Name_BillingLevel / bctl_BillingLevel_Description_BillingLevel|TypeCode / Name / Description
BillingCenter.dbo.bc_account|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description||BillingCenter.dbo.bc_account|Currency|ID|BillingCenter.dbo.bctl_Currency|bctl_Currency_TypeCode_Currency / bctl_Currency_Name_Currency / bctl_Currency_Description_Currency|TypeCode / Name / Description
BillingCenter.dbo.bc_account|DelinquencyStatus|ID|BillingCenter.dbo.bctl_DelinquencyStatus|bctl_DelinquencyStatus_TypeCode_DelinquencyStatus / bctl_DelinquencyStatus_Name_DelinquencyStatus / bctl_DelinquencyStatus_Description_DelinquencyStatus|TypeCode / Name / Description||BillingCenter.dbo.bc_account|DelinquencyStatus|ID|BillingCenter.dbo.bctl_DelinquencyStatus|bctl_DelinquencyStatus_TypeCode_DelinquencyStatus / bctl_DelinquencyStatus_Name_DelinquencyStatus / bctl_DelinquencyStatus_Description_DelinquencyStatus|TypeCode / Name / Description
BillingCenter.dbo.bc_account|DistributionLimitType|ID|BillingCenter.dbo.bctl_DistributionLimitType|bctl_DistributionLimitType_TypeCode_DistributionLimitType / bctl_DistributionLimitType_Name_DistributionLimitType / bctl_DistributionLimitType_Description_DistributionLimitType|TypeCode / Name / Description||BillingCenter.dbo.bc_account|DistributionLimitType|ID|BillingCenter.dbo.bctl_DistributionLimitType|bctl_DistributionLimitType_TypeCode_DistributionLimitType / bctl_DistributionLimitType_Name_DistributionLimitType / bctl_DistributionLimitType_Description_DistributionLimitType|TypeCode / Name / Description
BillingCenter.dbo.bc_account|InvoiceDayOfWeek|ID|BillingCenter.dbo.bctl_DayOfWeek|bctl_DayOfWeek_TypeCode_InvoiceDayOfWeek / bctl_DayOfWeek_Name_InvoiceDayOfWeek / bctl_DayOfWeek_Description_InvoiceDayOfWeek|TypeCode / Name / Description||BillingCenter.dbo.bc_account|InvoiceDayOfWeek|ID|BillingCenter.dbo.bctl_DayOfWeek|bctl_DayOfWeek_TypeCode_InvoiceDayOfWeek / bctl_DayOfWeek_Name_InvoiceDayOfWeek / bctl_DayOfWeek_Description_InvoiceDayOfWeek|TypeCode / Name / Description
BillingCenter.dbo.bc_account|InvoiceDeliveryType|ID|BillingCenter.dbo.bctl_InvoiceDeliveryMethod|bctl_InvoiceDeliveryMethod_TypeCode_InvoiceDeliveryType / bctl_InvoiceDeliveryMethod_Name_InvoiceDeliveryType / bctl_InvoiceDeliveryMethod_Description_InvoiceDeliveryType|TypeCode / Name / Description||BillingCenter.dbo.bc_account|InvoiceDeliveryType|ID|BillingCenter.dbo.bctl_InvoiceDeliveryMethod|bctl_InvoiceDeliveryMethod_TypeCode_InvoiceDeliveryType / bctl_InvoiceDeliveryMethod_Name_InvoiceDeliveryType / bctl_InvoiceDeliveryMethod_Description_InvoiceDeliveryType|TypeCode / Name / Description
BillingCenter.dbo.bc_account|PolicyLevelPaymentOption|ID|BillingCenter.dbo.bctl_PolicyLevelPaymentOption|bctl_PolicyLevelPaymentOption_TypeCode_PolicyLevelPaymentOption / bctl_PolicyLevelPaymentOption_Name_PolicyLevelPaymentOption / bctl_PolicyLevelPaymentOption_Description_PolicyLevelPaymentOption|TypeCode / Name / Description||BillingCenter.dbo.bc_account|PolicyLevelPaymentOption|ID|BillingCenter.dbo.bctl_PolicyLevelPaymentOption|bctl_PolicyLevelPaymentOption_TypeCode_PolicyLevelPaymentOption / bctl_PolicyLevelPaymentOption_Name_PolicyLevelPaymentOption / bctl_PolicyLevelPaymentOption_Description_PolicyLevelPaymentOption|TypeCode / Name / Description
BillingCenter.dbo.bc_account|Segment|ID|BillingCenter.dbo.bctl_AccountSegment|bctl_AccountSegment_TypeCode_Segment / bctl_AccountSegment_Name_Segment / bctl_AccountSegment_Description_Segment|TypeCode / Name / Description||BillingCenter.dbo.bc_account|Segment|ID|BillingCenter.dbo.bctl_AccountSegment|bctl_AccountSegment_TypeCode_Segment / bctl_AccountSegment_Name_Segment / bctl_AccountSegment_Description_Segment|TypeCode / Name / Description
