DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
BillingCenter.dbo.bc_account|Y|Y|UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_accountcontact|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_accountcontactrole|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_accountcontext|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_acctinvcpolpersnapshot|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_acctpmntinst|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_activemoneyrcvd|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_activity|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_activitypattern|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_address|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_assignqueue|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_attribute|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_authlp_desc_l10n|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_authlp_name_l10n|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_authorityevent|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_authoritylimit|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_authoritylimitprofile|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_basedist|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_basedistitem|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_basemoneyreceived|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_basenonrecdistitem|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_batchserver|Y| |StartupTime|Y|ID|ID| ||
BillingCenter.dbo.bc_billinginstruction|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_charge|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_chargecommission|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_chargeinstancecontext|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_chargepattern|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_chargepatterncontext|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_chargeproratatx|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_chargept_nm_l10n|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_chargereversal|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_chargeslicingoverrides|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_clustermemberdata|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_cmsnsexpenserollupctx|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_cmsnsp_name_l10n|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_collateral|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_commissionablechargeitem|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_commissionplantier|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_commissionrateoverride|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_commissionsubplan|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_commissionsubplanrate|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_contact|Y|Y|UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_contactaddress|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_contacttag|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_credential|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_credit|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_creditcontext|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_creditreversal|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_customalpuser|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_datachange|Y| |CreateDate|Y|ID|ID| ||
BillingCenter.dbo.bc_dbmoneyrcvdcontext|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_delinqprocdelayedtrigger|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_delinquencyplanevent|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_delinquencyplanreason|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_delinquencyprocess|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_delinquencyprocessevent|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_disbursement|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_distcriterionfilter|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_document|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_fundstransfer|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_group|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_group_assign|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_group_name_l10n|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_groupuser|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_groupuser_assign|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_history|Y| |EventDate|Y|ID|ID| ||
BillingCenter.dbo.bc_hold|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_holdtypeentry|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_instrumentedmessage|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_instrumentedworkertask|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_instrumentedworkexecutor|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_invoice|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_invoicebilledworkitem|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_invoicedueworkitem|Y| |LastUpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_invoiceitem|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_invoiceitemordering|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_invoicestream|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_itemcommission|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_itemevent|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_lineitem|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_message|Y| |AfterSendTime|Y|ID|ID| ||
BillingCenter.dbo.bc_ModifiedFromDI|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_MovedFromPMR|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_negativewriteoff|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_negativewriteoffrev|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_nonreceivableitemctx|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_note|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_officialid|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_onsetinvoiceitem|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_organization|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_orggroup|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_origchcmsn|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_outgoingpayment|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_parameter|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_parentgroup|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_paymentinstrument|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_paymentplanmodifier|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_paymentrequest|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_paymentrequestworkitem|Y| |LastUpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_plan|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_plan_desc_l10n|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_plan_name_l10n|Y| |ID|Y|ID|ID| ||
BillingCenter.dbo.bc_policy|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_policycommission|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_policyperiod|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_policyperiodcontact|Y| |UpdateTime|Y| |ID| ||
