DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
BillingCenter.dbo.bc_account|Y|Y|UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_accountcontext|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_basedist|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_basedistitem|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_basemoneyreceived|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_basenonrecdistitem|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_billinginstruction|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_charge|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_chargecommission|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_chargeinstancecontext|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_chargepattern|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_credential|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_credit|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_creditcontext|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_datachange|Y| |CreateDate|Y|ID|ID| ||
BillingCenter.dbo.bc_dbmoneyrcvdcontext|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_delinquencyprocess|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_delinquencyprocessevent|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_disbursement|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_fundstransfer|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_invoice|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_invoiceitem|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_negativewriteoff|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_nonreceivableitemctx|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_paymentinstrument|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_policy|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_policycommission|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_policyperiod|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_producer|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_producercode|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_producercontext|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_securityzone|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_suspensepayment|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_susppymtcontext|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_taccount|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_TAccountContainer|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_transaction|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_transfertxcontext|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_unappliedfund|Y| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_user|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_writeoff|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_writeoffreversal|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bcx_bcaccountsnapshotamnt_ext|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_agencycycleprocess|N| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bc_agencydisbpaidcontext|N| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_agencymoneyrcvdcontext|Y| |UpdateTime|Y| |ID| ||
BillingCenter.dbo.bc_agencybillcycle|N| |UpdateTime|Y|ID|ID| ||
BillingCenter.dbo.bctl_accountcontext|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_accountevaluation|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_accountinactivityworkitem|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_accountrole|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_accountsegment|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_accounttype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_acctcorrespondencetype|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_activestatus|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_activity|Y| |Truncate and Load|TypeList| ||||
BillingCenter.dbo.bctl_activitycategory|Y| |Truncate and Load|TypeList| ||||
