TABLE_NAME|COLUMN_NAME|Notes
ClaimCenter.dbo.cc_account|AccountNumber|
ClaimCenter.dbo.cc_bulkinvoice|BankAccountNumber|
ClaimCenter.dbo.cc_check|BankAccountNumber|
ClaimCenter.dbo.cc_claimcontact|PersonFirstNameDenorm|
ClaimCenter.dbo.cc_claimcontact|PersonLastNameDenorm|
ClaimCenter.dbo.cc_contact|AdjudicatorLicense|
ClaimCenter.dbo.cc_contact|AppraiserLicense|
ClaimCenter.dbo.cc_contact|AttorneyLicense|
ClaimCenter.dbo.cc_contact|AutoRepairLicense|
ClaimCenter.dbo.cc_contact|AutoTowingLicense|
ClaimCenter.dbo.cc_contact|ContractorLicense|
ClaimCenter.dbo.cc_contact|FirstName|
ClaimCenter.dbo.cc_contact|FirstNameDenorm|
ClaimCenter.dbo.cc_contact|FirstNameKanji|
ClaimCenter.dbo.cc_contact|FormerName|
ClaimCenter.dbo.cc_contact|HICN_Ext|
ClaimCenter.dbo.cc_contact|LastName|
ClaimCenter.dbo.cc_contact|LastNameDenorm|
ClaimCenter.dbo.cc_contact|LastNameKanji|
ClaimCenter.dbo.cc_contact|LicenseNumber|
ClaimCenter.dbo.cc_contact|MedicalLicense|
ClaimCenter.dbo.cc_contact|SearchName_Ext|
ClaimCenter.dbo.cc_contact|TaxID|
ClaimCenter.dbo.cc_contactinfo|FirstName|
ClaimCenter.dbo.cc_contactinfo|FirstNameDenorm|
ClaimCenter.dbo.cc_contactinfo|FirstNameKanji|
ClaimCenter.dbo.cc_contactinfo|LastName|
ClaimCenter.dbo.cc_contactinfo|LastNameDenorm|
ClaimCenter.dbo.cc_contactinfo|LastNameKanji|
ClaimCenter.dbo.cc_contactinfo|TaxID|
ClaimCenter.dbo.cc_eftdata|BankAccountNumber|
ClaimCenter.dbo.cc_policylocationsummary|InsuredName|
ClaimCenter.dbo.ccx_cc_sf_bulkinvoicedata|InsuredName|
ClaimCenter.dbo.ccx_cc_sf_bulkinvoicedata|License|
ClaimCenter.dbo.ccx_cc_sf_bulkinvoicedata|ReceiverName|
ClaimCenter.dbo.ccx_cc_sf_bulkinvoicedata|SenderName|
ClaimCenter.dbo.ccx_cc_sf_bulkinvoicedata|SenderTaxId|
ClaimCenter.dbo.ccx_ccc_currentdata|AppraiserName|
ClaimCenter.dbo.ccx_claimisomedicarepel|InsurerTaxID|
ClaimCenter.dbo.ccx_cmseligibilitydata_ext|FirstName|
ClaimCenter.dbo.ccx_cmseligibilitydata_ext|HICN|
ClaimCenter.dbo.ccx_cmseligibilitydata_ext|LastName|
ClaimCenter.dbo.ccx_cmseligibilitydata_ext|SSN|
ClaimCenter.dbo.ccx_crashevent_ext|InsuredFirstName|
ClaimCenter.dbo.ccx_crashevent_ext|InsuredLastName|
ClaimCenter.dbo.ccx_crashevent_ext|InsuredName|
ClaimCenter.dbo.ccx_enbulkinvoicedata_ext|BankNumber|
ClaimCenter.dbo.ccx_epayment|SenderName|
ClaimCenter.dbo.ccx_epaymentreport_ext|BankNumber|
ClaimCenter.dbo.ccx_epaymentreport_ext_tmp|BankNumber|
ClaimCenter.dbo.ccx_symb_appraiser_ext|FirstName|
ClaimCenter.dbo.ccx_symb_appraiser_ext|LastName|
