DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|Lookup Ref|HardDeleteFlag|PartitionBy|NumPartitions|Decrypt|Rows|Note
ClaimCenter.dbo.cc_account|N|Y|UpdateTime|Y||ID||AccountNumber||
ClaimCenter.dbo.cc_activity|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_activitydocument|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_activitypattern|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_actpat_desc_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_actpat_ssbj_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_actpat_subj_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_addnltripaccommodation|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_addnltripsegment|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_address|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_addresscorrection|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_agglimitrpt|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_aggregatelimit|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_allocatedclaimnumber|Y||UpdateTime|Y|Y|ID||||
ClaimCenter.dbo.cc_answer|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_answerset|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_archivefailure|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_archivefailuredetails|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_archiveworkitem|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_arraydatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_arraysizecntdd|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_assessmentcontentitem|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_assessmentitem|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_assessmentline|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_assessmentsource|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_assignableforkeydatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_assignableforkeysizecntdd|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_assignqueue|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_attr_desc_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_attr_name_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_attribute|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_attributeuser|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_authlp_desc_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_authlp_name_l10n|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_authoritylimit|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_authorityprofile|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_automatedhandler|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_autosyncworkitem|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_batchserver|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_beanversiondatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_benefitperiod|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_benefits|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_biiteminfo|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_bivalidationalert|N||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_bizweek_nam_l10n|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_blobcoldatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_bodypart|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_booleancoldatadist|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_broadcastbatch|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_BudgetLine|N||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_building|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_bulkinvoice|Y|Y|UpdateTime|Y||ID||BankAccountNumber||
