DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|Lookup Ref|HardDeleteFlag|PartitionBy|NumPartitions|Decrypt|Rows|Note
ClaimCenter.dbo.cc_address|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_catastrophe|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_check|Y|Y|UpdateTime|Y|ID|ID||BankAccountNumber||
ClaimCenter.dbo.cc_claim|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_claimcontact|Y|Y|UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_claimcontactrole|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_contact|Y|Y|UpdateTime|Y|ID|ID||HICN_Ext,LicenseNumber,TaxID||
ClaimCenter.dbo.cc_coverage|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_endorsement|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.cc_exposure|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_incident|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_matter|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_note|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_policy|Y||UpdateTime|Y|ID|ID||AccountNumber,PolicyNumber||
ClaimCenter.dbo.cc_policylocation|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_riskunit|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_transaction|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_transactionlineitem|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_transactionset|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_user|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_vehicle|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.ccx_crashevent_ext|Y|Y|UpdateTime|Y||ID||||
ClaimCenter.dbo.ccx_crasheventhistory_ext|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.ccx_crasheventnote_ext|Y||UpdateTime|Y||ID||||
ClaimCenter.dbo.ccx_HistoryAddlInfo_Ext|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_history|Y||ID|Y|ID|ID||||
ClaimCenter.dbo.cc_catastropheperil|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_catastrophezone|Y||ID|Y|Y|ID||||
ClaimCenter.dbo.cc_credential|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cc_group|Y||UpdateTime|Y|ID|ID||||
ClaimCenter.dbo.cctl_accidenttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_activity|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_activitycalendarview|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_activitycategory|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_activityclass|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_activityhistorytype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_activitystatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_activitysubjectsearchtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_activitytype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_activityview|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_address|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_addresstype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_adjudicativedomain|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_adversepartydenialreason|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_agglimitcalccriteria|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_aggregatelimittype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_aggregatetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_alarmtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_appdedstatus_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_appraisalassigntype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_appraisalclaimoffice_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_appraisalproducttype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_approvalstatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_approvedtreatment|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_archivefinalstatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_archivesourcestatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_archivestate|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assessmentaction|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assessmentcontentaction|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assessmentevent|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assessmentsource|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assessmentstatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assessmenttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignclaimgroup_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assigngroupordertype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignmentadditionaltype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignmentfactors_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignmentfactorstype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignmentlosstype_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignmentruletype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignmentsearchtype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignmentselectiontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignmentstatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_assignmentsubgroup|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_authoritylimittype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_autolosscauseconv_ext|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_automatedhandler|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_autosync|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_baggagetype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_bankaccount|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_bankaccounttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_batchprocesstype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_batchprocesstypeusage|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_benefitendreasontype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_bivalidationalerttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_boattype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_bodyparttype|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_bulkinvoiceitemstatus|Y||Truncate and Load|TypeList|| ||||
ClaimCenter.dbo.cctl_bulkinvoicejobtype|Y||Truncate and Load|TypeList|| ||||
