DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table|Different?|Harmonized Column Names (3)
[PolicyCenterL4-1].dbo.pc_accountsrecpartcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_bastatecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_bopbuildingcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_boplocationcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_businessautocov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_businessownerscov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_businessvehiclecov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_commercialpropertycov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_contractorsequipcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_contrequippartcov|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_covsymbol|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
[PolicyCenterL4-1].dbo.pc_covsymbolgrp|PatternCode|PatternID|[PolicyCenterL4-1].dbo.pc_etlclausepattern|CoverageCode|codeidentifier|Y|
