DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Notes
[PolicyCenterL4-1].dbo.pc_accountaccount|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_accountproducercode|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_accountuserroleassign|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_acctholderedge|Y||ID|Y|ID|ID|||
[PolicyCenterL4-1].dbo.pc_acrreplacement|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_activity|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_activitypattern|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_actpat_desc_l10n|Y||ID|Y||ID|||
[PolicyCenterL4-1].dbo.pc_actpat_ssbj_l10n|Y||ID|Y||ID|||
[PolicyCenterL4-1].dbo.pc_actpat_subj_l10n|Y||ID|Y|ID|ID|||
[PolicyCenterL4-1].dbo.pc_addlinterestdetail|Y||UpdateTime|Y|ID|ID|||
[PolicyCenterL4-1].dbo.pc_addressreplacement|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_affinitygroupjur|Y||ID|Y|ID|ID|||
[PolicyCenterL4-1].dbo.pc_affinitygroupprodcode|Y||ID|Y||ID|||
[PolicyCenterL4-1].dbo.pc_affinitygroupproduct|Y||ID|Y|ID|ID|||
[PolicyCenterL4-1].dbo.pc_allowedpaymentmethod|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_autonumbersequence|Y||UpdateTime|Y|ID|ID|||
[PolicyCenterL4-1].dbo.pc_billinginvoicestream|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_bopclasscode|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_buildingimpr|Y||UpdateTime|Y|ID|ID|||
[PolicyCenterL4-1].dbo.pc_buildingside|Y||UpdateTime|Y|ID|ID|||
[PolicyCenterL4-1].dbo.pc_calcroutinedefinition|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_calcroutineparam|Y||UpdateTime|Y||ID|||
[PolicyCenterL4-1].dbo.pc_calcroutineparamset|Y||UpdateTime|Y||ID|||
