DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table|Different?|Harmonized Column Names (3)
PolicyCenter.dbo.pc_account|AccountOrgType|ID|PolicyCenter.dbo.pctl_AccountOrgType|pctl_AccountOrgType_TypeCode / pctl_AccountOrgType_Name / pctl_AccountOrgType_Description|TypeCode / Name / Description|Y|pctl_AccountOrgType_TypeCode_AccountOrgType / pctl_AccountOrgType_Name_AccountOrgType / pctl_AccountOrgType_Description_AccountOrgType
PolicyCenter.dbo.pc_account|AccountStatus|ID|PolicyCenter.dbo.pctl_AccountStatus|pctl_AccountStatus_TypeCode / pctl_AccountStatus_Name / pctl_AccountStatus_Description|TypeCode / Name / Description|Y|pctl_AccountStatus_TypeCode_AccountStatus / pctl_AccountStatus_Name_AccountStatus / pctl_AccountStatus_Description_AccountStatus
PolicyCenter.dbo.pc_account|Accounttype|ID|PolicyCenter.dbo.pctl_AccountType|pctl_AccountType_TypeCode / pctl_AccountType_Name / pctl_AccountType_Description|TypeCode / Name / Description|Y|pctl_AccountType_TypeCode_Accounttype / pctl_AccountType_Name_Accounttype / pctl_AccountType_Description_Accounttype
PolicyCenter.dbo.pc_account|PreferredCoverageCurrency|ID|PolicyCenter.dbo.pctl_Currency|pctl_Currency_TypeCode2 / pctl_Currency_Name2 / pctl_Currency_Description2|TypeCode / Name / Description|Y|pctl_Currency_TypeCode_PreferredCoverageCurrency / pctl_Currency_Name_PreferredCoverageCurrency / pctl_Currency_Description_PreferredCoverageCurrency
PolicyCenter.dbo.pc_account|PreferredSettlementCurrency|ID|PolicyCenter.dbo.pctl_Currency|pctl_Currency_TypeCode1 / pctl_Currency_Name1 / pctl_Currency_Description1|TypeCode / Name / Description|Y|pctl_Currency_TypeCode_PreferredSettlementCurrency / pctl_Currency_Name_PreferredSettlementCurrency / pctl_Currency_Description_PreferredSettlementCurrency
PolicyCenter.dbo.pc_account|PrimaryLanguage|ID|PolicyCenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description|Y|pctl_LanguageType_TypeCode_PrimaryLanguage / pctl_LanguageType_Name_PrimaryLanguage / pctl_LanguageType_Description_PrimaryLanguage
PolicyCenter.dbo.pc_account|PrimaryLocale|ID|PolicyCenter.dbo.pctl_LocaleType|pctl_LocaleType_TypeCode / pctl_LocaleType_Name / pctl_LocaleType_Description|TypeCode / Name / Description|Y|pctl_LocaleType_TypeCode_PrimaryLocale / pctl_LocaleType_Name_PrimaryLocale / pctl_LocaleType_Description_PrimaryLocale
PolicyCenter.dbo.pc_account|ServiceTier|ID|PolicyCenter.dbo.pctl_CustomerServiceTier|pctl_CustomerServiceTier_TypeCode / pctl_CustomerServiceTier_Name / pctl_CustomerServiceTier_Description|TypeCode / Name / Description|Y|pctl_CustomerServiceTier_TypeCode_ServiceTier / pctl_CustomerServiceTier_Name_ServiceTier / pctl_CustomerServiceTier_Description_ServiceTier
PolicyCenter.dbo.pc_accountaccount|RelationshipType|ID|PolicyCenter.dbo.pctl_AccountRelationshipType|pctl_AccountRelationshipType_TypeCode / pctl_AccountRelationshipType_Name / pctl_AccountRelationshipType_Description|TypeCode / Name / Description|Y|pctl_AccountRelationshipType_TypeCode_RelationshipType / pctl_AccountRelationshipType_Name_RelationshipType / pctl_AccountRelationshipType_Description_RelationshipType
PolicyCenter.dbo.pcx_accountbp7industries|BOPIndustryType|ID|PolicyCenter.dbo.pctl_BP7PropertyType|pctl_BP7PropertyType_TypeCode_BOPIndustryType / pctl_BP7PropertyType_Name_BOPIndustryType / pctl_BP7PropertyType_Description_BOPIndustryType|TypeCode / Name / Description|N|pctl_BP7PropertyType_TypeCode_BOPIndustryType / pctl_BP7PropertyType_Name_BOPIndustryType / pctl_BP7PropertyType_Description_BOPIndustryType
PolicyCenter.dbo.pc_accountcontact|Subtype|ID|PolicyCenter.dbo.pctl_AccountContact|pctl_AccountContact_TypeCode / pctl_AccountContact_Name / pctl_AccountContact_Description|TypeCode / Name / Description|Y|pctl_AccountContact_TypeCode_Subtype / pctl_AccountContact_Name_Subtype / pctl_AccountContact_Description_Subtype
PolicyCenter.dbo.pc_accountcontactrole|Subtype|ID|PolicyCenter.dbo.pctl_AccountContactRole|pctl_AccountContactRole_TypeCode / pctl_AccountContactRole_Name / pctl_AccountContactRole_Description|TypeCode / Name / Description|Y|pctl_AccountContactRole_TypeCode_Subtype / pctl_AccountContactRole_Name_Subtype / pctl_AccountContactRole_Description_Subtype
PolicyCenter.dbo.pc_accountcontactrole|drivingPrograms|ID|PolicyCenter.dbo.pctl_DrivingPrograms|pctl_DrivingPrograms_TypeCode / pctl_DrivingPrograms_Name / pctl_DrivingPrograms_Description|TypeCode / Name / Description|Y|pctl_DrivingPrograms_TypeCode_drivingPrograms / pctl_DrivingPrograms_Name_drivingPrograms / pctl_DrivingPrograms_Description_drivingPrograms
