DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
PolicyCenter.dbo.pc_account|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_accountaccount|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_accountcontact|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_accountcontactrole|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_accountproducercode|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_accountuserroleassign|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_acctholderedge|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_acrreplacement|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_activity|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_activitypattern|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_actpat_desc_l10n|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_actpat_ssbj_l10n|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_actpat_subj_l10n|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_addlinterestdetail|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_address|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_addressreplacement|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_affinitygroup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_affinitygroupjur|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_affinitygroupprodcode|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_affinitygroupproduct|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_allowedpaymentmethod|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_autonumbersequence|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_billinginvoicestream|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_calcroutinedefinition|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_calcroutineparam|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_calcroutineparamset|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_calcstepdef|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_calcstepdefarg|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_calcstepdefoperand|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_calcstepdefratefac|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_cancelrefund|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_classbasis_desc|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_classbasis_name|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_classcodebasis|Y||UpdateTime|Y||ID|||
