Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Harmonized Column Names|Attributes from Lookup Table
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_POLICY_SYMBOL|Code|SABIR_METAACT.dbo.Ref_AM_POLICY_SYMBOL|POLICY_SYMBOL_DESC|Description
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_ANNUAL_STATEMENT_LINE|Code|SABIR_METAACT.dbo.Ref_AM_AS_LINE|ASL_DESC|Description
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_LINE_OF_BUSINESS|Code|SABIR_METAACT.dbo.Ref_AM_LINE_OF_BUSIENSS|LOB_DESC|Description
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_CLAIM_MAJ_PER|Code|SABIR_METAACT.dbo.Ref_AM_MAJOR_PERIL|MAJOR_PER_DESC|Description
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_MASTER_COMPANY_NO|Code|SABIR_METAACT.dbo.Ref_AM_MCO|MCO_DESC / MCO_EASCd / MCO_PRODUCT / MCO_PLATFORM|Description / EASCode / Product / OriginalPlatform
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_CAUSE_OF_LOSS|Code|SABIR_METAACT.dbo.Ref_AM_L_CAUSE_OF_LOSS|CAUSE_OF_LOSS_DESC|TC03_Description
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_TYPE_BUREAU|Code|SABIR_METAACT.dbo.Ref_AM_TYPE_BUREAU|TYPE_BUREAU_DESC|Description
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_RISK_STATE_PROVINCE|Code|SABIR_METAACT.dbo.Ref_AM_RISK_STATE|RISK_STATE_DESC / RISK_STATE_ABBRV|Description / StateAbbrev
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_TRANSACTION_CODE|Code|SABIR_METAACT.dbo.Ref_AM_L_TRANSACTION_CODE|TRANS_CODE_DESC|DESCRIPTION
SABIR_ReportingSystem.dbo.RS_PremiumMasterEOM|PM_POLICY_SYMBOL|Code|SABIR_METAACT.dbo.Ref_AM_POLICY_SYMBOL|POLICY_SYMBOL_DESC|Description
SABIR_ReportingSystem.dbo.RS_PremiumMasterEOM|PM_AS_LINE|Code|SABIR_METAACT.dbo.Ref_AM_AS_LINE|ASL_DESC|Description
SABIR_ReportingSystem.dbo.RS_PremiumMasterEOM|PM_LINE_OF_BUSINESS|Code|SABIR_METAACT.dbo.Ref_AM_LINE_OF_BUSIENSS|LOB_DESC|Description
SABIR_ReportingSystem.dbo.RS_PremiumMasterEOM|PM_MAJOR_PERIL|Code|SABIR_METAACT.dbo.Ref_AM_MAJOR_PERIL|MAJOR_PER_DESC|Description
SABIR_ReportingSystem.dbo.RS_PremiumMasterEOM|PM_MASTER_CO|Code|SABIR_METAACT.dbo.Ref_AM_MCO|MCO_DESC / MCO_EASCd / MCO_PRODUCT / MCO_PLATFORM|Description / EASCode / Product / OriginalPlatform
SABIR_ReportingSystem.dbo.RS_PremiumMasterEOM|PM_TYPE_BUREAU|Code|SABIR_METAACT.dbo.Ref_AM_TYPE_BUREAU|TYPE_BUREAU_DESC|Description
SABIR_ReportingSystem.dbo.RS_PremiumMasterEOM|PM_RISK_STATE|Code|SABIR_METAACT.dbo.Ref_AM_RISK_STATE|RISK_STATE_DESC / RISK_STATE_ABBRV|Description / StateAbbrev
SABIR_ReportingSystem.dbo.RS_PremiumMasterEOM|PM_TRANS_CODES|Code|SABIR_METAACT.dbo.Ref_Prem_TransCodes|TRANS_CODE_DESC / TRANS_CODE_NOTE|Description / Note
SABIR_ReportingSystem.dbo.POLICY_INFORCE|PIF_SYMBOL|Code|SABIR_METAACT.dbo.Ref_AM_POLICY_SYMBOL|POLICY_SYMBOL_DESC|Description
SABIR_ReportingSystem.dbo.POLICY_INFORCE|PIF_LINE_BUSINESS|Code|SABIR_METAACT.dbo.Ref_AM_LINE_OF_BUSIENSS|LOB_DESC|Description
SABIR_ReportingSystem.dbo.POLICY_INFORCE|PIF_MASTER_CO_NUMBER|Code|SABIR_METAACT.dbo.Ref_AM_MCO|MCO_DESC / MCO_EASCd / MCO_PRODUCT / MCO_PLATFORM|Description / EASCode / Product / OriginalPlatform
SABIR_ReportingSystem.dbo.POLICY_INFORCE|PIF_RISK_STATE_PROV|Code|SABIR_METAACT.dbo.Ref_AM_RISK_STATE|RISK_STATE_DESC / RISK_STATE_ABBRV|Description / StateAbbrev
