DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
PolicyCenterAgg.dbo.pc_account|Y||UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pc_addlinterestdetail|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_affinitygroup|Y||UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pc_contact|Y|Y|UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pc_effectivedatedfields|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_job|Y|Y|UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pc_pacost|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_pavehmodifier|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_personalautocov|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_personalvehiclecov|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_personalvehicle|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_policyaddress|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_policycontactrole|Y|Y|UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_policydrivermvr|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_policyline|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_policylocation|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_policyperiod|Y|Y|UpdateTime|Y||ID|20||
PolicyCenterAgg.dbo.pc_policyterm|Y|Y|UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pc_policy|Y||UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pc_priorpolicy|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_producercode|Y||UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pc_ratebook|Y||UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pc_territorycode|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pc_uwcompany|Y||UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pc_vehicledriver|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_dwelling_hoe|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_dwellingcov_hoe|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_hodiscounts_ext|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_holocation_hoe|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_homeownerscost_hoe|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_homeownerslinecov_hoe|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_horeconciliationdata_ext|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_hotransaction_hoe|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_multilinediscdetail_ext|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_pavehiclerisksymbol|Y||UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pcx_priorpolicyvehcile_ext|Y||UpdateTime|Y||ID|||
PolicyCenterAgg.dbo.pcx_reconcileddata_ext|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pcx_roofshape_ext|Y||UpdateTime|Y|ID|ID|||
PolicyCenterAgg.dbo.pctl_acceptdecline|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_accountcontactrole|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_accountcontact|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_accountorgtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_accountpaymentmethod|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_accountrelationshiptype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_accountsearchtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_accountstatus|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_accounttype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_actiontype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_activitycategory|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_activityclass|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_activitypatternlevel|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_activitystatus|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_activitytype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_activity|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_additionalinsuredtype|Y||Truncate and Load|TypeList|||||
