DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table
policycenterlite.dbo.pc_account|AccountOrgType|ID|policycenterlite.dbo.pctl_AccountOrgType|pctl_AccountOrgType_TypeCode / pctl_AccountOrgType_Name / pctl_AccountOrgType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_account|AccountStatus|ID|policycenterlite.dbo.pctl_AccountStatus|pctl_AccountStatus_TypeCode / pctl_AccountStatus_Name / pctl_AccountStatus_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_account|Accounttype|ID|policycenterlite.dbo.pctl_AccountType|pctl_AccountType_TypeCode / pctl_AccountType_Name / pctl_AccountType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_account|PreferredCoverageCurrency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode2 / pctl_Currency_Name2 / pctl_Currency_Description2|TypeCode / Name / Description
policycenterlite.dbo.pc_account|PreferredSettlementCurrency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode1 / pctl_Currency_Name1 / pctl_Currency_Description1|TypeCode / Name / Description
policycenterlite.dbo.pc_account|PrimaryLanguage|ID|policycenterlite.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_account|PrimaryLocale|ID|policycenterlite.dbo.pctl_LocaleType|pctl_LocaleType_TypeCode / pctl_LocaleType_Name / pctl_LocaleType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_account|ServiceTier|ID|policycenterlite.dbo.pctl_CustomerServiceTier|pctl_CustomerServiceTier_TypeCode / pctl_CustomerServiceTier_Name / pctl_CustomerServiceTier_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_accountaccount|RelationshipType|ID|policycenterlite.dbo.pctl_AccountRelationshipType|pctl_AccountRelationshipType_TypeCode / pctl_AccountRelationshipType_Name / pctl_AccountRelationshipType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_accountbp7industries|BOPIndustryType|ID|policycenterlite.dbo.pctl_BP7PropertyType|pctl_BP7PropertyType_TypeCode_BOPIndustryType / pctl_BP7PropertyType_Name_BOPIndustryType / pctl_BP7PropertyType_Description_BOPIndustryType|TypeCode / Name / Description
policycenterlite.dbo.pc_accountcontact|Subtype|ID|policycenterlite.dbo.pctl_AccountContact|pctl_AccountContact_TypeCode / pctl_AccountContact_Name / pctl_AccountContact_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_accountcontactrole|Subtype|ID|policycenterlite.dbo.pctl_AccountContactRole|pctl_AccountContactRole_TypeCode / pctl_AccountContactRole_Name / pctl_AccountContactRole_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_accountcontactrole|drivingPrograms|ID|policycenterlite.dbo.pctl_DrivingPrograms|pctl_DrivingPrograms_TypeCode / pctl_DrivingPrograms_Name / pctl_DrivingPrograms_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_accountcontactrole|NumberofAccidents|ID|policycenterlite.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode2 / pctl_NumberOfAccidents_Name2 / pctl_NumberOfAccidents_Description2|TypeCode / Name / Description
policycenterlite.dbo.pc_accountcontactrole|NumberOfAtFaultAccidents|ID|policycenterlite.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode3 / pctl_NumberOfAccidents_Name3 / pctl_NumberOfAccidents_Description3|TypeCode / Name / Description
