Table|PII Column|Notes
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_03_COMMNT5K|COMMENT_DRIVER_LICENSE|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_03_COMMNT5K|COMMENTS_INSUREDS_LICNO|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_03_COMMNT5K|COMMENTS_DD_ACCOUNT_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_08_BIELH08|BIELH08_DRIVER_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESCRIPTION_BROKER_TAX_ID|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESC_SS_NUM|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESCRIPTION_FED_EMP_NUM|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESC_LICENSE_NUM|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESC_RO_LICENSE_NUM|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESC_AA_ARS_ACCOUNT_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESC_ARS_ACCOUNT_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESC_RN_ARS_ACCOUNT_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESC_RO_LNAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESC_RO_FNAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESC_WV_OWNER_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|DESCRIPTION_MISC_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_25_DRIVER53|DRIVER_LICENSE_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_25_DRIVER53|DRIVER_NAME_OLD|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_25_DRIVER53|DRIVER_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_30_HOEXT53|PER_RMV_LIC_NUM|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_DRIVER_LICENSE_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_EMPLOYER_TAX_ID|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_APPLICANT_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_ATTORNEY_NAME_1|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_ATTORNEY_NAME_2|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_ATTORNEY_NAME_3|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_LOSS_CLAIMANT_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_FORM_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_ADVERSE_PARTY_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_APPLICANT_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_RESPONDENT_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_PAYOR_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_CENTER_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_PHYSICIAN_NAME|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_WITNESS_NAME_1|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|IPFCGQ_WITNESS_NAME_2|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCX6K|IPFCX6_BANK_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDI4W1K|PMDI4W1_A_HI_UNEMPLMT_NUM|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDI4W1K|PMDI4W1_B_KY_EMPL_ID_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDI4W1K|PMDI4W1_A_ME_UNEMPLMT_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDI4W1K|PMDI4W1_B_MN_UNEMPL_ACCT_NO|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDI4W1K|PMDI4W1_A_NM_UNEMPLT_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDI4W1K|PMDI4W1_A_NC_EMPL_CODE_NUM|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDI4W1K|PMDI4W1_A_NJ_TAXPAYER_NUM|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDL4W1K|PMDL4W1_FED_EMP_ID_NUMBER|
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_45_LOSS53K|LOSS_CLAIM_PAYEE_NAME|
