DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|Lookup Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
EDW_ExternalData.dbo.WORKDAY_SRC_LOAD_STATUS_TRACKER|Y||INSERTED_DTTM|N||LOAD_KEY|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYLGCY_COMM_DATA|Y||INSERTED_DTTM|N||RawRowID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYLGCY_LOSS_DATA|Y||INSERTED_DTTM|N||RawRowID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYLGCY_POLICY_FEES_DATA|Y| |INSERTED_DTTM|N||RawRowID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYLGCY_PREM_DATA|Y||INSERTED_DTTM|N||RawRowID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYRH_COMM_DATA|Y||INSERTED_DTTM|N||X_RAW_ROW_ID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYRH_LOSS_DATA|Y||INSERTED_DTTM|N||X_RAW_ROW_ID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYRH_PREM_DATA|Y||INSERTED_DTTM|N||X_RAW_ROW_ID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYRTW_COMM_DATA|Y||INSERTED_DTTM|N||X_RAW_ROW_ID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYRTW_LOSS_DATA|Y||INSERTED_DTTM|N||X_RAW_ROW_ID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYRTW_POLICY_FEES_DATA|Y||INSERTED_DTTM|N||X_RAW_ROW_ID|||
EDW_ExternalData.dbo.WORKDAY_SRC_WRKDYRTW_PREM_DATA|Y||INSERTED_DTTM|N||X_RAW_ROW_ID|||
