DB/TABLE|Send to Lake|Has PII|CDC|Lookup Column Ref|HardDeleteFlag|partitionBy|Rows|Note
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_02_PINFO53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_03_COMMNT5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_03_COMMNT5K_COMMENT|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_45_LOSS53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_08_BIELH08|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_08_BIELP08|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_08_BIEXC08|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_08_BIEXC08_LOSS|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB11K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB12K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB13K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB21K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB22K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB31K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB32K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB33K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB41K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB51K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB61K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_09_UNBPB62K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_11_SEG1153K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_12_DESC53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_13_ERROR53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_22_FARM53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_25_DRIVER53|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_25_DRIVER53_DRIVER|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_30_HOEXT53|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_30_HOEXT53_CREDIT|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_35_VEHCOV53|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_35_VEHCOV53_PREMIUMS|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_35_VEHDES53|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_37_CIFORM5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_37_CIFORM5K_ENTRIES|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_40_REINS53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFC4JK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFC4MK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFC4MK_LINE_APPROVAL|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGPK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCGQK_BENEFICIARY|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_42_IPFCX6K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4BK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4DK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4DK_AUDIT|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4JK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4MK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4TK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4TK_FORMS|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4WK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4WK_EXPOSURE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4ZK|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4ZK_CF_AUDIT|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4ZK_INCR_AUDIT|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4ZK_RATE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMD4ZK_WC_AUDIT|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS1K_INS_LINE_PREM|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS1K_SUBLINE_PREM|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS2K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS2K_INS_LINE_PREM|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS2K_SUBLINE_PREM|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS3K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS3K_INS_LINE_PREM|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS3K_SUBLINE_PREM|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS4K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS4K_STATE_TAX|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDGS4K_TAX_SUR_FEE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDI4W1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDL4W1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDL4W1K_COVERED_STATE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDLXG1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V7M_PIF_QUOTE_DB.dbo.V7M_QUOTE_43_PMDLXG1K_FRINGE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
