DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|Lookup Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
EDW_ExternalData.dbo.LGREP_FTP_EXCEL_PRODUCT_SEGMENT|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.PLCY_FTP_EXCEL_ASL|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.PLCY_FTP_EXCEL_AVGRESVEXCLCOVGWPC|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.PLCY_FTP_EXCEL_GW_NAIC_MCO|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.PLCY_FTP_EXCEL_MERGECOVGWPC|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.PLCY_FTP_EXCEL_AVERAGERESERVEAMTS|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.PLCY_FTP_EXCEL_PRODUCTSEGMENTATION|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.PLCY_FTP_EXCEL_RPTG_GROUP|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.PLCY_FTP_EXCEL_WEBXL_LOB|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.PLCY_FTP_EXCEL_NAICS_CODES|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.vACTUARIAL_FTP_EXCEL_PRIORCARRIER|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.EXTRACT_PROCESS_STATUS|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_COPY_SBRDIM_BISEGMENT|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_COPY_SBRDIM_BUSINESS_UNIT_GROUP|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_COPY_SBRDIM_DATE|Y||Truncate and Load|TypeList|| |||Curation
EDW_ExternalData.dbo.LGREP_COPY_SBRDIM_EXCEPTIONS|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_COPY_SBRDIM_PRODUCT_GROUP|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_COPY_SBRDIM_PRODUCT_LINE|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_COPY_SBRDIM_REGIONSTATE|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_COPY_SBRDIM_SALES_REGION|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_COPY_SBRDIM_SYMBOL_LOB|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_COPY_SBREXT_DPLR_HISTORY|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_RAW_SAPRODMF_RSGTAM|Y||Truncate and Load|TypeList|| |||
EDW_ExternalData.dbo.LGREP_RAW_SAPRODMF_V7GTAM|Y||Truncate and Load|TypeList|| |||
EDLake.dbo.ent_ref_code|Y||Truncate and Load|TypeList|| |||Curation
