DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Harmonized Column Names (3)|Attributes from Lookup Table
claimcenter.dbo.cc_activity|ActivityClass|ID|claimcenter.dbo.cctl_ActivityClass|cctl_ActivityClass_TypeCode_ActivityClass / cctl_ActivityClass_Name_ActivityClass / cctl_ActivityClass_Description_ActivityClass|TypeCode / Name / Description
claimcenter.dbo.cc_activity|AssignmentStatus|ID|claimcenter.dbo.cctl_AssignmentStatus|cctl_AssignmentStatus_TypeCode_AssignmentStatus / cctl_AssignmentStatus_Name_AssignmentStatus / cctl_AssignmentStatus_Description_AssignmentStatus|TypeCode / Name / Description
claimcenter.dbo.cc_activity|Importance|ID|claimcenter.dbo.cctl_ImportanceLevel|cctl_ImportanceLevel_TypeCode_Importance / cctl_ImportanceLevel_Name_Importance / cctl_ImportanceLevel_Description_Importance|TypeCode / Name / Description
claimcenter.dbo.cc_activity|Priority|ID|claimcenter.dbo.cctl_Priority|cctl_Priority_TypeCode_Priority / cctl_Priority_Name_Priority / cctl_Priority_Description_Priority|TypeCode / Name / Description
claimcenter.dbo.cc_activity|Status|ID|claimcenter.dbo.cctl_ActivityStatus|cctl_ActivityStatus_TypeCode_Status / cctl_ActivityStatus_Name_Status / cctl_ActivityStatus_Description_Status|TypeCode / Name / Description
claimcenter.dbo.cc_activity|Subtype|ID|claimcenter.dbo.cctl_Activity|cctl_Activity_TypeCode_Subtype / cctl_Activity_Name_Subtype / cctl_Activity_Description_Subtype|TypeCode / Name / Description
claimcenter.dbo.cc_activity|Type|ID|claimcenter.dbo.cctl_ActivityType|cctl_ActivityType_TypeCode_Type / cctl_ActivityType_Name_Type / cctl_ActivityType_Description_Type|TypeCode / Name / Description
claimcenter.dbo.cc_activity|ValidationLevel|ID|claimcenter.dbo.cctl_ValidationLevel|cctl_ValidationLevel_TypeCode_ValidationLevel / cctl_ValidationLevel_Name_ValidationLevel / cctl_ValidationLevel_Description_ValidationLevel|TypeCode / Name / Description
claimcenter.dbo.ccx_activityhistory_ext|ActivityHistoryType|ID|claimcenter.dbo.cctl_ActivityHistoryType_Ext|cctl_ActivityHistoryType_Ext_TypeCode_ActivityHistoryType / cctl_ActivityHistoryType_Ext_Name_ActivityHistoryType / cctl_ActivityHistoryType_Ext_Description_ActivityHistoryType|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|ActivityClass|ID|claimcenter.dbo.cctl_ActivityClass|cctl_ActivityClass_TypeCode_ActivityClass / cctl_ActivityClass_Name_ActivityClass / cctl_ActivityClass_Description_ActivityClass|TypeCode / Name / Description
claimcenter.dbo.cc_activitypattern|Category|ID|claimcenter.dbo.cctl_ActivityCategory|cctl_ActivityCategory_TypeCode_Category / cctl_ActivityCategory_Name_Category / cctl_ActivityCategory_Description_Category|TypeCode / Name / Description
