DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table
policycenter.dbo.pc_account|AccountOrgType|ID|policycenter.dbo.pctl_AccountOrgType|pctl_AccountOrgType_TypeCode / pctl_AccountOrgType_Name / pctl_AccountOrgType_Description|TypeCode / Name / Description
policycenter.dbo.pc_account|AccountStatus|ID|policycenter.dbo.pctl_AccountStatus|pctl_AccountStatus_TypeCode / pctl_AccountStatus_Name / pctl_AccountStatus_Description|TypeCode / Name / Description
policycenter.dbo.pc_account|Accounttype|ID|policycenter.dbo.pctl_AccountType|pctl_AccountType_TypeCode / pctl_AccountType_Name / pctl_AccountType_Description|TypeCode / Name / Description
policycenter.dbo.pc_account|PreferredCoverageCurrency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode2 / pctl_Currency_Name2 / pctl_Currency_Description2|TypeCode / Name / Description
policycenter.dbo.pc_account|PreferredSettlementCurrency|ID|policycenter.dbo.pctl_Currency|pctl_Currency_TypeCode1 / pctl_Currency_Name1 / pctl_Currency_Description1|TypeCode / Name / Description
policycenter.dbo.pc_account|PrimaryLanguage|ID|policycenter.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode / pctl_LanguageType_Name / pctl_LanguageType_Description|TypeCode / Name / Description
policycenter.dbo.pc_account|PrimaryLocale|ID|policycenter.dbo.pctl_LocaleType|pctl_LocaleType_TypeCode / pctl_LocaleType_Name / pctl_LocaleType_Description|TypeCode / Name / Description
policycenter.dbo.pc_account|ServiceTier|ID|policycenter.dbo.pctl_CustomerServiceTier|pctl_CustomerServiceTier_TypeCode / pctl_CustomerServiceTier_Name / pctl_CustomerServiceTier_Description|TypeCode / Name / Description
policycenter.dbo.pc_accountaccount|RelationshipType|ID|policycenter.dbo.pctl_AccountRelationshipType|pctl_AccountRelationshipType_TypeCode / pctl_AccountRelationshipType_Name / pctl_AccountRelationshipType_Description|TypeCode / Name / Description
policycenter.dbo.pcx_accountbp7industries|BOPIndustryType|ID|policycenter.dbo.pctl_BP7PropertyType|pctl_BP7PropertyType_TypeCode_BOPIndustryType / pctl_BP7PropertyType_Name_BOPIndustryType / pctl_BP7PropertyType_Description_BOPIndustryType|TypeCode / Name / Description
policycenter.dbo.pc_accountcontact|Subtype|ID|policycenter.dbo.pctl_AccountContact|pctl_AccountContact_TypeCode / pctl_AccountContact_Name / pctl_AccountContact_Description|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|Subtype|ID|policycenter.dbo.pctl_AccountContactRole|pctl_AccountContactRole_TypeCode / pctl_AccountContactRole_Name / pctl_AccountContactRole_Description|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|drivingPrograms|ID|policycenter.dbo.pctl_DrivingPrograms|pctl_DrivingPrograms_TypeCode / pctl_DrivingPrograms_Name / pctl_DrivingPrograms_Description|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|NumberofAccidents|ID|policycenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode2 / pctl_NumberOfAccidents_Name2 / pctl_NumberOfAccidents_Description2|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|NumberOfAtFaultAccidents|ID|policycenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode3 / pctl_NumberOfAccidents_Name3 / pctl_NumberOfAccidents_Description3|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|NumberOfMajorViolations|ID|policycenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode4 / pctl_NumberOfAccidents_Name4 / pctl_NumberOfAccidents_Description4|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|NumberOfMinorViolations|ID|policycenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode5 / pctl_NumberOfAccidents_Name5 / pctl_NumberOfAccidents_Description5|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|NumberOfOtherAccidents|ID|policycenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode6 / pctl_NumberOfAccidents_Name6 / pctl_NumberOfAccidents_Description6|TypeCode / Name / Description
policycenter.dbo.pc_accountcontactrole|NumberOfSpeedingViolations|ID|policycenter.dbo.pctl_NumberOfAccidents|pctl_NumberOfAccidents_TypeCode1 / pctl_NumberOfAccidents_Name1 / pctl_NumberOfAccidents_Description1|TypeCode / Name / Description
