TABLE_NAME|COLUMN_NAME|Notes
SABIR_ReportingSystem.dbo.RS_PremiumMasterEOM|PM_INSURED_NAME|
SABIR_ReportingSystem.dbo.POLICY_INFORCE|PIF_ADDRESS_LINE_1|
SABIR_ReportingSystem.dbo.POLICY_INFORCE|PIF_ADDRESS_LINE_2|
SABIR_ReportingSystem.dbo.POLICY_INFORCE|PIF_DOB|
SABIR_ReportingSystem.dbo.POLICY_INFORCE_DAILY|PIF_ADDRESS_LINE_1|
SABIR_ReportingSystem.dbo.POLICY_INFORCE_DAILY|PIF_ADDRESS_LINE_2|
SABIR_ReportingSystem.dbo.POLICY_INFORCE_DAILY|PIF_DOB|
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_CLAIMANT_NAME|
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_INSURED_NAME|
SABIR_Company_Loss_Master.dbo.LOSS_MASTER_EOM|LM_1099_FIELDS|
