DB/TABLE|Send to Lake|Has PII|CDC|Lookup Column Ref|HardDeleteFlag|partitionBy|Rows|Note
V6M_PIF_EXTRACT.dbo.V6M_02_PINFO53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_03_COMMNT5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_09_UNHPHA1K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_11_SEG1153K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_12_DESC53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_14_FIRERT5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_16_FIREPR5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_16_FIREPR5K_MISC|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_17_HORATE5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_18_HOCFPREM|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_18_HOCFPREM_MPDISC|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_18_HOCFPREM_MPPREM|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_20_HOPREM5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_20_HOPREM5K_MISC|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_25_DRIVER5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_25_DRIVER5K_DRIVER|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_26_WCPOLR5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_26_WCPOLR5K_AUDIT|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_26_WCSTR53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_26_WCSTR53K_EXPOSURE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_27_WCEND53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_30_HOEXT53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_30_HOEXT53K_CREDIT|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_31_BO3153K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_31_BO3153K_COVERAGE|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_32_BO3253K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_33_BOEXT53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_35_VEHCOV5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_35_VEHCOV5K_COVERAGES|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_35_VEHDES5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_36_UMBREI4K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_36_UMBREI4K_MILLION|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_36_UMBREI4K_MISC|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_36_UMBREI4K_REINS|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_36_WATERC3K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_36_WATERC3K_CREDITS|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_37_CIFORM5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_37_CIFORM5K_ENTRIES|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_40_REINS53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_45_LOSS53K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_45_STACCT5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_96_RECSUM5K|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_MASTER|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_PIF_ADDRESSES|Y|Y|TransactionYYYYMM|Y||TransactionYYYYMM| |
V6M_PIF_EXTRACT.dbo.V6M_BALANCE_TOTALS|Y|Y|dwLoadTime|Y||ItemID| |
V6M_PIF_EXTRACT.dbo.V6M_BALANCE_UNWRITTEN_CHILDREN|Y|Y|dwLoadTime|Y||ItemID| |
V6M_PIF_EXTRACT.dbo.V6M_MF_BALANCE_TOTALS|Y|Y|dwLoadTime|Y||ItemID| |
